Area Code,Area,Months Code,Months,Element Code,Element
2,Afghanistan,7001,January,7271,Temperature change
2,Afghanistan,7001,January,6078,Standard Deviation
2,Afghanistan,7002,February,7271,Temperature change
2,Afghanistan,7002,February,6078,Standard Deviation
2,Afghanistan,7003,March,7271,Temperature change
2,Afghanistan,7003,March,6078,Standard Deviation
2,Afghanistan,7004,April,7271,Temperature change
2,Afghanistan,7004,April,6078,Standard Deviation
